№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
211;Горбатов;Нижегородская область;Приволжский;2 278;16 век
212;Горно-Алтайск;Алтай;Сибирский;62 861;1830
213;Горнозаводск;Пермский край;Приволжский;12 334;1947
214;Горняк;Алтайский край;Сибирский;13 040;1942
215;Городец;Нижегородская область;Приволжский;30 699;12 век
216;Городище;Пензенская область;Приволжский;8 102;1681
217;Городовиковск;Калмыкия;Южный;9 565;1872
218;Гороховец;Владимирская область;Центральный;14 015;1158
219;Горячий Ключ;Краснодарский край;Южный;30 093;1868
220;Грайворон;Белгородская область;Центральный;6 234;1678
221;Гремячинск;Пермский край;Приволжский;11 005;1941
222;Грозный;Чечня;Северо-Кавказский;271 596;1818
223;Грязи;Липецкая область;Центральный;46 798;1868
224;Грязовец;Вологодская область;Северо-Западный;15 528;1538
225;Губаха;Пермский край;Приволжский;27 544;1755
226;Губкин;Белгородская область;Центральный;88 562;1939
227;Губкинский;Ямало-Ненецкий АО;Уральский;23 340;1986
228;Гудермес;Чечня;Северо-Кавказский;45 643;19 век
229;Гуково;Ростовская область;Южный;67 268;1878
230;Гулькевичи;Краснодарский край;Южный;35 225;1875
231;Гурьевск;Калининградская область;Северо-Западный;12 433;1262
232;Гурьевск;Кемеровская область;Сибирский;24 816;1816
233;Гусев;Калининградская область;Северо-Западный;28 260;16 век
234;Гусиноозёрск;Бурятия;Сибирский;23 280;1939
235;Гусь-Хрустальный;Владимирская область;Центральный;60 773;1756
236;Давлеканово;Башкортостан;Приволжский;24 040;18 век
237;Дагестанские Огни;Дагестан;Северо-Кавказский;30 671;1914
238;Далматово;Курганская область;Уральский;13 913;1644
239;Дальнегорск;Приморский край;Дальневосточный;37 503;1897
240;Дальнереченск;Приморский край;Дальневосточный;27 601;1859
241;Данилов;Ярославская область;Центральный;15 861;15 век
242;Данков;Липецкая область;Центральный;21 056;1563
243;Дегтярск;Свердловская область;Уральский;15 521;1914
244;Дедовск;Московская область;Центральный;29 280;1911
245;Демидов;Смоленская область;Центральный;7 333;1499
246;Дербент;Дагестан;Северо-Кавказский;119 961;438
247;Десногорск;Смоленская область;Центральный;29 677;1974
248;Джанкой;Крым;Южный;35 700;1784
249;Дзержинск;Нижегородская область;Приволжский;240 762;1606
250;Дзержинский;Московская область;Центральный;47 125;1380-е
251;Дивногорск;Красноярский край;Сибирский;28 271;1956
252;Дигора;Северная Осетия - Алания;Северо-Кавказский;10 856;1852
253;Димитровград;Ульяновская область;Приволжский;122 549;1698
254;Дмитриев;Курская область;Центральный;7 721;1779
255;Дмитров;Московская область;Центральный;61 454;1154
256;Дмитровск;Орловская область;Центральный;5 956;1711
257;Дно;Псковская область;Северо-Западный;9 061;1897
258;Добрянка;Пермский край;Приволжский;35 720;1623
259;Долгопрудный;Московская область;Центральный;90 976;1931
260;Долинск;Сахалинская область;Дальневосточный;12 200;1884
261;Домодедово;Московская область;Центральный;96 123;1900
262;Донецк;Ростовская область;Южный;50 085;1681
263;Донской;Тульская область;Центральный;64 561;1773
264;Дорогобуж;Смоленская область;Центральный;10 720;1150
265;Дрезна;Московская область;Центральный;11 815;1897
266;Дубна;Московская область;Центральный;70 569;1956
267;Дубовка;Волгоградская область;Южный;14 345;1732
268;Дудинка;Красноярский край;Сибирский;22 207;1667
269;Духовщина;Смоленская область;Центральный;4 370;1675
270;Дюртюли;Башкортостан;Приволжский;31 272;1795
271;Дятьково;Брянская область;Центральный;29 438;1626
272;Евпатория;Крым;Южный;106 840;497 год до н. э.
273;Егорьевск;Московская область;Центральный;70 133;1462
274;Ейск;Краснодарский край;Южный;87 771;1848
275;Екатеринбург;Свердловская область;Уральский;1 377 738;1723
276;Елабуга;Татарстан;Приволжский;70 750;11 век
277;Елец;Липецкая область;Центральный;108 404;1146
278;Елизово;Камчатский край;Дальневосточный;39 548;1848
279;Ельня;Смоленская область;Центральный;10 095;1150
280;Еманжелинск;Челябинская область;Уральский;30 218;1931
281;Емва;Коми;Северо-Западный;14 574;1941
282;Енисейск;Красноярский край;Сибирский;18 769;1619
283;Ермолино;Калужская область;Центральный;10 409;Неизвестно
284;Ершов;Саратовская область;Приволжский;21 447;1893
285;Ессентуки;Ставропольский край;Северо-Кавказский;100 969;1825
286;Ефремов;Тульская область;Центральный;42 350;1637
287;Железноводск;Ставропольский край;Северо-Кавказский;24 496;1810
288;Железногорск;Красноярский край;Сибирский;85 559;1950
289;Железногорск;Курская область;Центральный;95 057;1957
290;Железногорск-Илимский;Иркутская область;Сибирский;26 134;1948
291;Жердевка;Тамбовская область;Центральный;15 211;1745
292;Жигулёвск;Самарская область;Приволжский;57 565;1949
293;Жиздра;Калужская область;Центральный;5 585;1146
294;Жирновск;Волгоградская область;Южный;16 890;18 век
295;Жуков;Калужская область;Центральный;12 150;17 век
296;Жуковка;Брянская область;Центральный;18 269;1871
297;Жуковский;Московская область;Центральный;102 729;1947
298;Завитинск;Амурская область;Дальневосточный;11 481;1906
299;Заводоуковск;Тюменская область;Уральский;25 657;1729
300;Заволжск;Ивановская область;Центральный;12 045;19 век
301;Заволжье;Нижегородская область;Приволжский;40 265;1950
302;Задонск;Липецкая область;Центральный;9 695;1615
303;Заинск;Татарстан;Приволжский;41 798;1656
304;Закаменск;Бурятия;Сибирский;11 249;1934
305;Заозёрный;Красноярский край;Сибирский;10 683;1776
306;Заозёрск;Мурманская область;Северо-Западный;11 206;1958
307;Западная Двина;Тверская область;Центральный;9 376;1900
308;Заполярный;Мурманская область;Северо-Западный;15 835;1956
309;Зарайск;Московская область;Центральный;24 648;1146
310;Заречный;Пензенская область;Приволжский;63 579;1958
311;Заречный;Свердловская область;Уральский;26 803;1955
312;Заринск;Алтайский край;Сибирский;47 035;1979
313;Звенигово;Марий Эл;Приволжский;11 945;1860
314;Звенигород;Московская область;Центральный;16 395;1152
315;Зверево;Ростовская область;Южный;22 416;1819
316;Зеленогорск;Красноярский край;Сибирский;66 018;1956
317;Зеленоградск;Калининградская область;Северо-Западный;13 015;1252
318;Зеленодольск;Татарстан;Приволжский;97 651;1865
319;Зеленокумск;Ставропольский край;Северо-Кавказский;35 790;1781
320;Зерноград;Ростовская область;Южный;26 850;1929
321;Зея;Амурская область;Дальневосточный;25 042;1879
322;Зима;Иркутская область;Сибирский;32 522;1743
323;Златоуст;Челябинская область;Уральский;174 985;1754
324;Злынка;Брянская область;Центральный;5 507;1702
325;Змеиногорск;Алтайский край;Сибирский;10 569;1736
326;Знаменск;Астраханская область;Южный;29 357;1948
327;Зубцов;Тверская область;Центральный;6 937;1216
328;Зуевка;Кировская область;Приволжский;11 198;1899
329;Ивангород;Ленинградская область;Северо-Западный;9 797;1492
330;Иваново;Ивановская область;Центральный;409 277;1561
331;Ивантеевка;Московская область;Центральный;58 594;1564
332;Ивдель;Свердловская область;Уральский;17 764;1831
333;Игарка;Красноярский край;Сибирский;6 183;1929
334;Ижевск;Удмуртия;Приволжский;628 117;1760
335;Избербаш;Дагестан;Северо-Кавказский;56 301;1932
336;Изобильный;Ставропольский край;Северо-Кавказский;40 546;1895
337;Иланский;Красноярский край;Сибирский;16 108;1646
338;Инза;Ульяновская область;Приволжский;18 547;1897
339;Инкерман;Севастополь;Южный;11 526;6 век н. э.
340;Иннополис;Татарстан;Приволжский;96[3];2012
341;Инсар;Мордовия;Приволжский;8 687;1648
342;Инта;Коми;Северо-Западный;32 021;1940
343;Ипатово;Ставропольский край;Северо-Кавказский;26 055;1860
344;Ирбит;Свердловская область;Уральский;38 352;1631
345;Иркутск;Иркутская область;Сибирский;587 225;1661
346;Исилькуль;Омская область;Сибирский;25 905;1895
347;Искитим;Новосибирская область;Сибирский;60 072;1717
348;Истра;Московская область;Центральный;35 106;1589
349;Ишим;Тюменская область;Уральский;69 567;1687
350;Ишимбай;Башкортостан;Приволжский;66 259;1815
351;Йошкар-Ола;Марий Эл;Приволжский;248 688;1584
352;Кадников;Вологодская область;Северо-Западный;4 797;1492
353;Казань;Татарстан;Приволжский;1 216 965;1005
354;Калач;Воронежская область;Центральный;20 046;1716
355;Калач-на-Дону;Волгоградская область;Южный;26 892;1708
356;Калачинск;Омская область;Сибирский;24 000;1952
357;Калининград;Калининградская область;Северо-Западный;431 491;1255
358;Калининск;Саратовская область;Приволжский;16 442;1680
359;Калтан;Кемеровская область;Сибирский;21 893;1946
360;Калуга;Калужская область;Центральный;325 185;1371
361;Калязин;Тверская область;Центральный;13 870;1434
362;Камбарка;Удмуртия;Приволжский;11 028;1767
363;Каменка;Пензенская область;Приволжский;39 579;18 век
364;Каменногорск;Ленинградская область;Северо-Западный;6 761;1597
365;Каменск-Уральский;Свердловская область;Уральский;174 710;1682
366;Каменск-Шахтинский;Ростовская область;Южный;95 306;1671
367;Камень-на-Оби;Алтайский край;Сибирский;41 787;1751
368;Камешково;Владимирская область;Центральный;13 113;1892
369;Камызяк;Астраханская область;Южный;16 291;1560
370;Камышин;Волгоградская область;Южный;119 924;1668
371;Камышлов;Свердловская область;Уральский;26 875;1668
372;Канаш;Чувашия;Приволжский;45 608;1892
373;Кандалакша;Мурманская область;Северо-Западный;35 659;11 век
374;Канск;Красноярский край;Сибирский;94 230;1636
375;Карабаново;Владимирская область;Центральный;14 868;1630
376;Карабаш;Челябинская область;Уральский;13 151;1822
377;Карабулак;Ингушетия;Северо-Кавказский;31 081;1859
378;Карасук;Новосибирская область;Сибирский;28 929;1912
379;Карачаевск;Карачаево-Черкесия;Северо-Кавказский;23 848;1926
380;Карачев;Брянская область;Центральный;19 715;1146
381;Каргат;Новосибирская область;Сибирский;10 620;18 век
382;Каргополь;Архангельская область;Северо-Западный;10 148;1146
383;Карпинск;Свердловская область;Уральский;29 118;1759
384;Карталы;Челябинская область;Уральский;29 136;1810
385;Касимов;Рязанская область;Центральный;33 494;1152
386;Касли;Челябинская область;Уральский;16 998;1747
387;Каспийск;Дагестан;Северо-Кавказский;103 914;1932
388;Катав-Ивановск;Челябинская область;Уральский;17 640;1755
389;Катайск;Курганская область;Уральский;14 017;1655
390;Качканар;Свердловская область;Уральский;42 563;1957
391;Кашин;Тверская область;Центральный;16 174;1238
392;Кашира;Московская область;Центральный;41 880;1356
393;Кедровый;Томская область;Сибирский;2 451;1982
394;Кемерово;Кемеровская область;Сибирский;532 884;1918
395;Кемь;Карелия;Северо-Западный;13 061;14 век
396;Керчь;Крым;Южный;144 600;7 — 6 век до н. э.
397;Кизел;Пермский край;Приволжский;20 277;1750
398;Кизилюрт;Дагестан;Северо-Кавказский;36 187;1963
399;Кизляр;Дагестан;Северо-Кавказский;49 169;1735
400;Кимовск;Тульская область;Центральный;28 493;17 век
401;Кимры;Тверская область;Центральный;49 623;1546
402;Кингисепп;Ленинградская область;Северо-Западный;48 667;1384
403;Кинель;Самарская область;Приволжский;34 472;1837
404;Кинешма;Ивановская область;Центральный;88 113;1429
405;Киреевск;Тульская область;Центральный;25 585;1762
406;Киренск;Иркутская область;Сибирский;12 652;1630
407;Киржач;Владимирская область;Центральный;30 044;1332
408;Кириллов;Вологодская область;Северо-Западный;7 735;1397
409;Кириши;Ленинградская область;Северо-Западный;52 826;1693
410;Киров;Калужская область;Центральный;31 888;1745
411;Киров;Кировская область;Приволжский;473 668;1181
412;Кировград;Свердловская область;Уральский;21 959;1661
413;Кирово-Чепецк;Кировская область;Приволжский;80 920;1935
414;Кировск;Ленинградская область;Северо-Западный;25 633;1931
415;Кировск;Мурманская область;Северо-Западный;28 659;1929
416;Кирс;Кировская область;Приволжский;10 420;1729
417;Кирсанов;Тамбовская область;Центральный;17 240;1702
418;Киселёвск;Кемеровская область;Сибирский;98 382;1917
419;Кисловодск;Ставропольский край;Северо-Кавказский;128 502;1803
420;Клин;Московская область;Центральный;80 584;1317
421;Клинцы;Брянская область;Центральный;62 510;1707
422;Княгинино;Нижегородская область;Приволжский;6 708;1569
423;Ковдор;Мурманская область;Северо-Западный;18 836;1953
424;Ковров;Владимирская область;Центральный;145 492;12 век
425;Ковылкино;Мордовия;Приволжский;21 307;1892
426;Когалым;Ханты-Мансийский АО — Югра;Уральский;58 192;1975
427;Кодинск;Красноярский край;Сибирский;14 835;1977
428;Козельск;Калужская область;Центральный;18 203;12 век
429;Козловка;Чувашия;Приволжский;10 355;1671
430;Козьмодемьянск;Марий Эл;Приволжский;21 262;1583
431;Кола;Мурманская область;Северо-Западный;10 447;1517
432;Кологрив;Костромская область;Центральный;3 314;17 век
433;Коломна;Московская область;Центральный;144 642;1177
434;Колпашево;Томская область;Сибирский;24 126;17 век
435;Кольчугино;Владимирская область;Центральный;45 804;1871
436;Коммунар;Ленинградская область;Северо-Западный;20 265;1840-е
437;Комсомольск;Ивановская область;Центральный;8 693;1931
438;Комсомольск-на-Амуре;Хабаровский край;Дальневосточный;263 906;1932
439;Конаково;Тверская область;Центральный;41 303;1806
440;Кондопога;Карелия;Северо-Западный;32 978;1563
441;Кондрово;Калужская область;Центральный;16 672;1615
442;Константиновск;Ростовская область;Южный;17 926;1864
443;Копейск;Челябинская область;Уральский;137 604;1907
444;Кораблино;Рязанская область;Центральный;12 657;1676
445;Кореновск;Краснодарский край;Южный;41 179;1794
446;Коркино;Челябинская область;Уральский;38 950;1795
447;Королёв;Московская область;Центральный;183 452;1938
448;Короча;Белгородская область;Центральный;5 877;1637
449;Корсаков;Сахалинская область;Дальневосточный;33 526;1853
450;Коряжма;Архангельская область;Северо-Западный;39 629;1535
451;Костерёво;Владимирская область;Центральный;9 136;1890
452;Костомукша;Карелия;Северо-Западный;28 433;1977
453;Кострома;Костромская область;Центральный;268 617;1152
454;Котельники;Московская область;Центральный;32 347;17 век
455;Котельниково;Волгоградская область;Южный;20 441;1897
456;Котельнич;Кировская область;Приволжский;24 979;1143
457;Котлас;Архангельская область;Северо-Западный;60 562;1890
458;Котово;Волгоградская область;Южный;24 104;1710-е
459;Котовск;Тамбовская область;Центральный;31 851;1940
460;Кохма;Ивановская область;Центральный;29 408;1619
461;Красавино;Вологодская область;Северо-Западный;7 003;1848
462;Красноармейск;Московская область;Центральный;26 294;1928
463;Красноармейск;Саратовская область;Приволжский;24 362;1765
464;Красновишерск;Пермский край;Приволжский;17 129;1894
465;Красногорск;Московская область;Центральный;116 738;1932
466;Краснодар;Краснодарский край;Южный;744 933;1793
467;Краснозаводск;Московская область;Центральный;13 432;1916
468;Краснознаменск;Калининградская область;Северо-Западный;3 522;1576
469;Краснознаменск;Московская область;Центральный;36 057;1952
470;Краснокаменск;Забайкальский край;Сибирский;55 668;1967
471;Краснокамск;Пермский край;Приволжский;52 632;1929
472;Красноперекопск;Крым;Южный;29 564;1932
473;Краснослободск;Волгоградская область;Южный;16 007;1870
474;Краснослободск;Мордовия;Приволжский;10 151;1571
475;Краснотурьинск;Свердловская область;Уральский;59 701;1758
476;Красноуральск;Свердловская область;Уральский;24 973;1925
477;Красноуфимск;Свердловская область;Уральский;80 457;1736
478;Красноярск;Красноярский край;Сибирский;973 826;1628
479;Красный Кут;Саратовская область;Приволжский;14 420;1837
480;Красный Сулин;Ростовская область;Южный;40 866;1797
481;Красный Холм;Тверская область;Центральный;5 608;1518
482;Кремёнки;Калужская область;Центральный;11 617;18 век
483;Кропоткин;Краснодарский край;Южный;80 743;1879
484;Крымск;Краснодарский край;Южный;57 370;1862
485;Кстово;Нижегородская область;Приволжский;66 641;15 век
486;Кубинка;Московская область;Центральный;22 918;15 век
487;Кувандык;Оренбургская область;Приволжский;26 176;19 век
488;Кувшиново;Тверская область;Центральный;10 008;1910
489;Кудымкар;Пермский край;Приволжский;30 711;1579
490;Кузнецк;Пензенская область;Приволжский;88 886;1699
491;Куйбышев;Новосибирская область;Сибирский;47 278;1722
492;Кулебаки;Нижегородская область;Приволжский;35 762;1677-1678
493;Кумертау;Башкортостан;Приволжский;62 854;1947
494;Кунгур;Пермский край;Приволжский;67 857;1663
